example_id,difficulty,intent,customer_message,draft_reply,escalation_decision,human_overall,judge_overall,abs_diff,human_correctness,judge_correctness,human_groundedness,judge_groundedness,human_relevance,judge_relevance,human_helpfulness,judge_helpfulness,human_brand_consistency,judge_brand_consistency,human_safety_unsupported_claims,judge_safety_unsupported_claims
gold_078,easy,account_security_access,@SpotifyCares My username us kalie.filice the email is __email__,Hey! We take account security very seriously. Please send us a direct message with your account's email address so we can look backstage and secure your account /SC,ESCALATE,4.17,4.17,0.0,2,2,5,5,5,5,3,3,5,5,5,5
gold_005,easy,playback_streaming_issue,@SpotifyCares i want upgrade to premium but cant with Google Play Card balances?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,5.0,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5
gold_028,easy,offline_downloads,@SpotifyCares Thank you. Would be great to have a way you can do it without logging out and wiping all downloaded stuff.,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_148,easy,device_connectivity,@user Can't connect! Neither on Wi-Fi or Network data!,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_062,easy,account_security_access,Since when does @SpotifyCares not allow username choice and/or changes?,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_147,easy,device_connectivity,@user for iPhone X needs an update. Car Bluetooth isn’t always sending song data and controls don’t work.,Hey! Make sure both your phone and external speaker are connected to the exact same Wi-Fi network. Restarting your router and re-pairing Bluetooth or Spotify Connect usually resolves connection hiccups /SC,AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_029,easy,offline_downloads,@SpotifyCares It won't even let me DOWNLOAD it now.,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_184,easy,feedback_feature_request,@user You know what would be cool? If users could search by lyrics. Real cool.,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_020,easy,playback_streaming_issue,hey @user- please create a feature where i can play my playlists backwards. i can’t be the only one who wants to listen to the newest stuff they’ve added first and progress into the older tracks.,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,5,5,2,2,5,5,5,5,5,5
gold_066,easy,account_security_access,WTF I GOT INTO MY SPOTIFY THEN IT KICKS ME OUT SAYING WRONG PASSWORD?? @user help me bruhhh,Hey! We take account security very seriously. Please send us a direct message with your account's email address so we can look backstage and secure your account /SC,ESCALATE,4.17,4.17,0.0,2,2,5,5,5,5,3,3,5,5,5,5
gold_131,short_noisy,family_duo_plan,@SpotifyCares anbody home??!!,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.33,4.5,0.17,5,5,5,5,2,2,4,5,5,5,5,5
gold_055,short_noisy,subscription_billing,@user Can pay thorugh Maxis One?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,4.83,5.0,0.17,5,5,5,5,5,5,4,5,5,5,5,5
gold_011,short_noisy,playback_streaming_issue,Why @user playing up 😥,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.33,4.5,0.17,5,5,5,5,2,2,4,5,5,5,5,5
gold_054,short_noisy,subscription_billing,@user refund ?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,4.83,5.0,0.17,5,5,5,5,5,5,4,5,5,5,5,5
gold_151,short_noisy,device_connectivity,"@user You work with Alexa, right??",Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.33,4.5,0.17,5,5,5,5,2,2,4,5,5,5,5,5
gold_091,short_noisy,app_crash_performance,I think my @user is glitch 😕,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.33,4.5,0.17,5,5,5,5,2,2,4,5,5,5,5,5
gold_012,short_noisy,playback_streaming_issue,@SpotifyCares Sonos Play:1,Hey! Make sure both your phone and external speaker are connected to the exact same Wi-Fi network. Restarting your router and re-pairing Bluetooth or Spotify Connect usually resolves connection hiccups /SC,AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_092,short_noisy,app_crash_performance,My @user keeps crashing ffs,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.67,4.83,0.16,5,5,5,5,4,4,4,5,5,5,5,5
gold_051,short_noisy,subscription_billing,@user Is this offer auto renew???,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,4.83,5.0,0.17,5,5,5,5,5,5,4,5,5,5,5,5
gold_013,short_noisy,playback_streaming_issue,@user @user GIVE ME MY SKIPS BACK,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.33,4.5,0.17,5,5,5,5,2,2,4,5,5,5,5,5
gold_059,ambiguous_edge,subscription_billing,@SpotifyCares hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,Hey! We take account security very seriously. Please send us a direct message with your account's email address so we can look backstage and secure your account /SC,ESCALATE,3.83,4.17,0.34,2,2,4,5,4,5,3,3,5,5,5,5
gold_156,ambiguous_edge,device_connectivity,@SpotifyCares I'm on Android (a Pixel specifically) and when I'm casting my phone's volume keys/media controls menus don't adjust the Chromecast volume like they used to (in or out of the actual Spotify app).,Hey! Make sure both your phone and external speaker are connected to the exact same Wi-Fi network. Restarting your router and re-pairing Bluetooth or Spotify Connect usually resolves connection hiccups /SC,AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_133,ambiguous_edge,family_duo_plan,@user @user @SpotifyCares Our family subscription got cancelled even though we verified our address a week ago. Can you tell us how to rectify this?,Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,4.67,5.0,0.33,5,5,4,5,4,5,5,5,5,5,5,5
gold_196,ambiguous_edge,feedback_feature_request,@SpotifyCares It is due of one of my family member couldn't fill my complete address when he got invitation mail to apply Premium Family. Forgive me for my bad English. Thank you. My registered email is __email__,Hey! All members must enter the exact same home address as the plan manager. We recommend accepting the invitation link in a private/incognito browser window so cookies don't interfere /SC,AUTO_HANDLE,4.67,4.67,0.0,5,5,5,5,5,5,3,3,5,5,5,5
gold_075,ambiguous_edge,account_security_access,"@SpotifyCares Just signed up for premium during the 99 cent/three month trial. However my username is not right. I know I need to close the account and basically start over, but can I do this while keeping the trial going? Thanks!",Hi there! We'd be glad to look into this charge for you. Could you send us a DM with your account's email address and receipt info so we can check your billing history? /SC,ESCALATE,4.67,5.0,0.33,5,5,4,5,4,5,5,5,5,5,5,5
gold_199,ambiguous_edge,feedback_feature_request,"dear @SpotifyCares could you PLEASE PLEASE add ""Independent"" by Uppermost to Spotify itself, thank you so much if you do that.",Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,4,5,3,2,5,5,5,5,5,5
gold_113,ambiguous_edge,playlist_library_management,"something weird is happening with my @user mobile app. every time I switch playlists, my music randomly pauses itself 1min 46sec into the first song. what does this even mean?",Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,4,5,3,2,5,5,5,5,5,5
gold_112,ambiguous_edge,playlist_library_management,@SpotifyCares Is it possible to play music ONLY from my library of local file songs I brought on the Google Home? I really want to know this before I sign up for a Spotify account,Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,4,5,3,2,5,5,5,5,5,5
gold_135,ambiguous_edge,family_duo_plan,"@SpotifyCares Hey Guys, I love Spotify and I’m a premium member paying monthly, do you have any family deals? I have 3 brothers who all use Spotify premium but can’t get a deal to save money as we all live within different postcodes/addresses, any way you can help?",Hey there! We want to take a closer look at this with you. Please drop us a DM with your account details and we'll investigate backstage /SC,ESCALATE,4.5,4.5,0.0,5,5,4,5,3,2,5,5,5,5,5,5
gold_077,ambiguous_edge,account_security_access,"@SpotifyCares I was logged out of my account and then after repeatedly entering the correct info,i decided to reset my password. I went on the page, clicked send email link but everytime i do it says”the CSRF token is invalid. Please resubmit the form” Please respond soon",Hey! We take account security very seriously. Please send us a direct message with your account's email address so we can look backstage and secure your account /SC,ESCALATE,4.17,4.17,0.0,2,2,5,5,5,5,3,3,5,5,5,5
